name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Bergstrom International Airport, Austin, Texas",2021-07-01,92,71.1,81,99,71.1,84.1,71.7,76.5,0,0,0,,0,0,12.1,9.2,160.9,1014.3,43.8,9.8,234.3,20.2,9,,2021-07-01T06:32:57,2021-07-01T20:36:17,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-07-02,93.8,73.1,82.7,100.2,73.1,86.7,72.7,74.3,0,0,0,,0,0,18.3,9.2,152.2,1012.8,67.1,9.9,238.3,20.6,8,,2021-07-02T06:33:21,2021-07-02T20:36:15,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-07-03,89.1,72,79.4,98.3,72,82.7,73.8,83.6,0.468,100,4.17,rain,0,0,25.3,16.1,110.4,1013.2,80.8,9.9,176.6,15,5,,2021-07-03T06:33:46,2021-07-03T20:36:11,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72253912979,KATT,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-07-04,83,74,77.2,90.3,74,78.8,74.3,91.1,0.546,100,20.83,rain,0,0,17.2,10.3,122.3,1012.7,90.2,8.6,100.5,8.6,6,,2021-07-04T06:34:11,2021-07-04T20:36:06,0.83,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72253912979,KATT,KRYW,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-07-05,83,72,76.7,89,72,78.4,73.6,90.6,0.011,100,4.17,rain,0,0,14.5,12.7,143.4,1012.4,80.5,7.6,151.1,13,7,,2021-07-05T06:34:38,2021-07-05T20:36:00,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72253912979,KATT,KRYW,KAUS,C2969,72254013904,EAUT2,72254413958,72054200166,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-07-06,87.2,73.1,78.6,93.1,73.1,81,72.7,83.7,0,0,0,,0,0,21.9,12.7,100,1012,85.3,9.9,204.6,17.7,8,,2021-07-06T06:35:05,2021-07-06T20:35:52,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KRYW,KAUS,C2969,72254013904,EAUT2,72054200166,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-07-07,83.9,70.1,76.7,89.6,70.1,78.5,71.3,84.7,0,0,0,,0,0,20.8,13.9,103.7,1012.3,61.6,9.2,182.2,15.8,6,,2021-07-07T06:35:33,2021-07-07T20:35:42,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-07-08,84.8,71.1,77,90.1,71.1,78.6,71.6,84.8,0.051,100,4.17,rain,0,0,27.1,16.1,71.3,1012.3,73.1,9.7,185.8,16,7,,2021-07-08T06:36:02,2021-07-08T20:35:31,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72253912979,KATT,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-07-09,79.1,74,75.7,79.1,74,75.7,74.3,95.5,0.178,100,20.83,rain,0,0,28.9,12.7,113.3,1014.5,97,9,80.7,7,3,,2021-07-09T06:36:31,2021-07-09T20:35:19,0,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72253912979,KATT,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-07-10,90,74,80.5,100.5,74,84.3,74.3,83.5,0.032,100,8.33,rain,0,0,37.9,16.1,161.3,1015.1,76.1,8.6,225.7,19.4,9,,2021-07-10T06:37:01,2021-07-10T20:35:05,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72253912979,KATT,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-07-11,89.1,74.9,80.5,97.3,74.9,83.4,73.7,81.6,0,0,0,,0,0,21.5,13.9,177.3,1014.7,79.4,9.6,204.6,17.6,8,,2021-07-11T06:37:31,2021-07-11T20:34:50,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KRYW,KAUS,C2969,72254013904,EAUT2,72254413958,72054200166,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-07-12,84.8,71.1,79.1,91.6,71.1,81,72.7,81.7,0,0,0,,0,0,29.8,16.1,169.8,1016.5,81.5,9.9,181.7,15.5,8,,2021-07-12T06:38:02,2021-07-12T20:34:33,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72253912979,KATT,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-07-13,90,66.8,74.6,97.4,66.8,75.9,69.7,86.1,0.083,100,8.33,rain,0,0,50.4,15,170.4,1019.8,69,9.8,190.2,16.6,8,,2021-07-13T06:38:34,2021-07-13T20:34:15,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72253912979,KATT,KRYW,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
"Bergstrom International Airport, Austin, Texas",2021-07-14,89.1,66.8,75.9,95.5,66.8,77.5,71,86.5,0.012,100,4.17,rain,0,0,39.1,26.4,145.9,1020.1,67.4,9.9,220.5,19,7,,2021-07-14T06:39:06,2021-07-14T20:33:56,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72253912979,KATT,KAUS,C2969,72254013904,EAUT2,72254413958,KHYI,E5093"
