"type","Status","Amount_In_Dollars","Market_Title","Market_Id","Original_Date","Filled","Canceled_By_You","Canceled_By_NSF","Canceled_By_Closing","Original_Placed","Remaining","Settled_Time","Result","Profit_In_Dollars","Yes_Contracts_Owned","Yes_Contracts_Average_Price_In_Cents","No_Contracts_Owned","No_Contracts_Average_Price_In_Cents","Price_In_Cents","Fee_In_Dollars","Traded_Time","Direction","Deposit_Type","Last_Updated"
"Order","Canceled ","","Will the **high temp in Miami** be 84-85° on Apr 3 2024?","cdf34c3f-9304-4a5a-9582-4c1b50bc0b34","3 Apr 2024","0","1,000","0","0","1,000","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the **high temp in Miami** be 84-85° on Apr 3 2024?","cdf34c3f-9304-4a5a-9582-4c1b50bc0b34","3 Apr 2024","0","1,000","0","0","1,000","0","","","","","","","","","","","","",""
"Order","Placed ","","Will the **high temp in Miami** be 84-85° on Apr 3 2024?","cdf34c3f-9304-4a5a-9582-4c1b50bc0b34","3 Apr 2024","0","0","0","0","1,000","1,000","","","","","","","","","","","","",""
"Order","Placed ","","Will the **high temp in Austin** be 74-75° on Apr 3 2024?","c1e55b83-8334-4577-916f-59f82172da79","3 Apr 2024","0","0","0","0","1,000","1,000","","","","","","","","","","","","",""
"Order","Placed ","","Will the high temp in Chicago be >42° on Apr 3 2024?","583a5270-7fa2-4894-99cf-56ed8e3dc80f","3 Apr 2024","0","0","0","0","1,000","1,000","","","","","","","","","","","","",""
"Order","Placed ","","Will the **high temp in NYC** be 48-49° on Apr 3 2024?","5d0c9fe0-fd89-4d84-acc9-8e61e11ed5fb","3 Apr 2024","0","0","0","0","1,000","1,000","","","","","","","","","","","","",""
"Order","Canceled ","","Will the **high temp in Miami** be 84-85° on Apr 3 2024?","cdf34c3f-9304-4a5a-9582-4c1b50bc0b34","3 Apr 2024","0","1,000","0","0","1,000","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the **high temp in Miami** be 84-85° on Apr 3 2024?","cdf34c3f-9304-4a5a-9582-4c1b50bc0b34","3 Apr 2024","0","1,000","0","0","1,000","0","","","","","","","","","","","","",""
"Order","Canceled ","","Will the **high temp in Miami** be 84-85° on Apr 3 2024?","cdf34c3f-9304-4a5a-9582-4c1b50bc0b34","3 Apr 2024","0","1,000","0","0","1,000","0","","","","","","","","","","","","",""
"Settlement","","","Will the **high temp in Miami** be 81-82° on Apr 2 2024?","","","","","","","","","2024-04-03T12:01:14.445858Z","no","0.00","0","0.00","0","0.00","","","","","",""
"Settlement","","","Will the **high temp in Austin** be 81-82° on Apr 2 2024?","","","","","","","","","2024-04-03T12:01:06.451267Z","no","0.00","279","30.00","0","0.00","","","","","",""
"Settlement","","","Will the **high temp in NYC** be >52° on Apr 2 2024?","","","","","","","","","2024-04-03T12:00:58.44522Z","no","0.00","1000","20.00","0","0.00","","","","","",""
"Settlement","","","Will the high temp in Chicago be >45° on Apr 2 2024?","","","","","","","","","2024-04-03T12:00:50.44581Z","yes","0.00","0","0.00","0","0.00","","","","","",""
